[2026-01-27 19:23:51] OPERATION=SERVER_START FILE=N/A STATUS=SUCCESS DETAILS=File server started
[2026-01-27 19:23:55] OPERATION=UPLOAD FILE=test3_large.bin STATUS=FAILED DETAILS=File locked
[2026-01-27 20:26:57] OPERATION=SERVER_START FILE=N/A STATUS=SUCCESS DETAILS=File server started
[2026-01-27 20:28:17] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:17] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:18] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:18] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:18] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:19] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:20] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:20] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:22] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:22] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:22] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:23] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:24] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:24] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:26] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:26] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:26] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:27] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:28] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:28] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:30] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:30] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:30] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:32] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:32] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:32] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:34] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:34] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:34] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:36] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:36] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:36] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:38] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:38] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
[2026-01-27 20:28:38] OPERATION=LOCKS FILE=N/A STATUS=SUCCESS DETAILS=Viewed locks
[2026-01-27 20:28:40] OPERATION=LIST FILE=N/A STATUS=SUCCESS DETAILS=Listed files
